T100S-HP,OSA,WLM
1567.0,+1.56700200E-006,+1.56700210E-006
1568.0,+1.56800220E-006,+1.56800244E-006
1569.0,+1.56899890E-006,+1.56900348E-006
1570.0,+1.57000290E-006,+1.57000453E-006
1571.0,+1.57100380E-006,+1.57100378E-006
1572.0,+1.57199930E-006,+1.57200390E-006
1573.0,+1.57299800E-006,+1.57300138E-006
1574.0,+1.57400470E-006,+1.57400430E-006
1575.0,+1.57499990E-006,+1.57500442E-006
1576.0,+1.57600150E-006,+1.57600606E-006
1577.0,+1.57700610E-006,+1.57700649E-006
1578.0,+1.57800030E-006,+1.57800527E-006
1579.0,+1.57900130E-006,+1.57900679E-006
1580.0,+1.58000240E-006,+1.58000381E-006
1581.0,+1.58100030E-006,+1.58100591E-006
1582.0,+1.58199890E-006,+1.58200358E-006
1583.0,+1.58300180E-006,+1.58300296E-006
1584.0,+1.58399640E-006,+1.58400246E-006
1585.0,+1.58499920E-006,+1.58500292E-006
1586.0,+1.58600290E-006,+1.58600535E-006
1587.0,+1.58699740E-006,+1.58700498E-006
1588.0,+1.58800320E-006,+1.58800682E-006
1589.0,+1.58899900E-006,+1.58900272E-006
1590.0,+1.58999610E-006,+1.59000346E-006
1591.0,+1.59100120E-006,+1.59100299E-006
1592.0,+1.59199940E-006,+1.59200338E-006
1593.0,+1.59299600E-006,+1.59300236E-006
1594.0,+1.59399980E-006,+1.59400245E-006
1595.0,+1.59499780E-006,+1.59500409E-006
1596.0,+1.59599810E-006,+1.59600237E-006
1597.0,+1.59700050E-006,+1.59700415E-006
1598.0,+1.59799580E-006,+1.59800251E-006
1599.0,+1.59900240E-006,+1.59900405E-006
1600.0,+1.59999720E-006,+1.60000280E-006
1601.0,+1.60100010E-006,+1.60100547E-006
1602.0,+1.60200180E-006,+1.60200441E-006
1603.0,+1.60299860E-006,+1.60300623E-006
1604.0,+1.60400890E-006,+1.60401026E-006
1605.0,+1.60500520E-006,+1.60500977E-006
1606.0,+1.60600130E-006,+1.60600759E-006
1607.0,+1.60700210E-006,+1.60700409E-006
1608.0,+1.60799800E-006,+1.60800489E-006
1609.0,+1.60900240E-006,+1.60900403E-006
1610.0,+1.61000440E-006,+1.61000851E-006
1611.0,+1.61100030E-006,+1.61100591E-006
1612.0,+1.61200430E-006,+1.61200713E-006
1613.0,+1.61299980E-006,+1.61300614E-006
1614.0,+1.61400460E-006,+1.61400706E-006
1615.0,+1.61500250E-006,+1.61500866E-006
1616.0,+1.61600530E-006,+1.61600817E-006
1617.0,+1.61700000E-006,+1.61700500E-006
